SF, UPDATE, TIME, SENT_UPLINKS, RECEIVED_UPLINKS, SENT_DOWNLINKS, RECEIVED_DOWNLINKS, EFFECTIVE_UPLINKS, INEFFECTIVE_UPLINKS, INEFFECTIVE_DATA_UPLINKS, INEFFECTIVE_RESPONSE_UPLINKS, INEFFECTIVE_RESPONSE_LOST_UPLINK, INEFFECTIVE_RESPONSE_NO_SCHEDULED_DOWNLINK, INEFFECTIVE_RESPONSE_WASTED_DOWNLINK, INEFFECTIVE_RESPONSE_MAC_ERROR
sf7,5000,1095,152,140,139,106,105,47,1,46,12,1,22,11
sf7,5000,863,110,110,109,106,105,5,1,4,0,1,1,2
sf7,5000,1231,176,168,167,106,105,71,1,70,8,1,21,40
sf7,5000,913,119,118,117,106,105,14,1,13,1,1,7,4
sf7,5000,921,120,118,117,106,105,15,1,14,2,1,3,8
sf7,5000,1175,171,165,164,106,105,66,1,65,6,1,34,24
sf7,5000,1107,155,142,141,105,104,51,1,50,13,1,18,18
sf7,5000,976,134,125,124,106,105,29,1,28,9,1,11,7
sf8,5000,1467,145,140,139,106,105,40,1,39,5,1,10,23
sf8,5000,1458,152,148,147,106,105,47,1,46,4,1,11,30
sf8,5000,1477,145,143,142,106,105,40,1,39,2,1,13,23
sf8,5000,1248,122,121,120,106,105,17,1,16,1,1,5,9
sf8,5000,1259,122,122,121,106,105,17,1,16,0,1,7,8
sf8,5000,1491,160,155,154,106,105,55,1,54,5,1,13,35
sf8,5000,1483,146,146,145,106,105,41,1,40,0,1,9,30
sf8,5000,1424,140,137,136,106,105,35,1,34,3,1,6,24
sf9,5000,2791,157,156,155,105,104,53,1,52,1,1,12,38
sf9,5000,2651,149,145,144,106,105,44,1,43,4,1,23,15
sf9,5000,3541,202,194,193,106,105,97,1,96,8,1,23,64
sf9,5000,2129,118,115,114,106,105,13,1,12,3,1,4,4
sf9,5000,2429,136,130,129,105,104,32,1,31,6,1,7,17
sf9,5000,2460,139,139,138,106,105,34,1,33,0,1,6,26
sf9,5000,3106,176,175,174,105,104,72,1,71,1,1,21,48
sf9,5000,3104,164,159,158,106,105,59,1,58,5,1,21,31
sf10,5000,8401,243,243,242,106,105,138,1,137,0,1,55,81
sf10,5000,9103,264,264,263,105,104,160,1,159,0,1,75,83
sf10,5000,9304,270,268,267,105,104,166,1,165,2,1,93,69
sf10,5000,6527,188,187,186,106,105,83,1,82,1,1,45,35
sf10,5000,8501,235,235,234,105,104,131,1,130,0,1,72,57
sf10,5000,9604,268,264,263,106,105,163,1,162,4,1,65,92
sf10,5000,7828,227,225,224,106,105,122,1,121,2,1,71,47
sf10,5000,7321,279,276,275,105,104,175,1,174,3,1,109,61
sf11,5000,5871,148,148,147,106,105,43,1,42,0,1,4,37
sf11,5000,4475,118,118,117,106,105,13,1,12,0,1,3,8
sf11,5000,9266,130,130,129,106,105,25,1,24,0,1,1,22
sf11,5000,9561,134,134,133,106,105,29,1,28,0,1,1,26
sf11,5000,11955,170,169,168,105,104,66,1,65,1,1,2,61
sf11,5000,5272,129,129,128,105,104,25,1,24,0,1,3,20
sf11,5000,10857,142,142,141,106,105,37,1,36,0,1,2,33
sf11,5000,10184,144,144,143,106,105,39,1,38,0,1,6,31
sf12,5000,28067,193,193,192,106,105,88,1,87,0,1,5,81
sf12,5000,26682,193,192,191,106,105,88,1,87,1,1,5,80
sf12,5000,26681,193,193,192,106,105,88,1,87,0,1,11,75
sf12,5000,21642,195,193,192,106,105,90,1,89,2,1,5,81
sf12,5000,22428,161,160,159,105,104,57,1,56,1,1,1,53
sf12,5000,26508,192,192,191,106,105,87,1,86,0,1,4,81
sf12,5000,19477,138,138,137,106,105,33,1,32,0,1,3,28
sf12,5000,15645,182,173,172,106,105,77,1,76,9,1,9,57
