SF, SIZE, TIME, TOTAL_UPLINKS, PRODUCTIVE_UPLINKS, PERCENT_PRODUCTIVE, WASTED_UPLINKS, PERCENT_WASTED, PROTOCOL_WASTE, PERCENT_PROTOCOL_WASTE, LOST_WASTE, PERCENT_LOST_WASTE, LOST_DL_OR_DUTY_CYCLE_RESTRICTIONS, PERCENT_LOST_DL_DUTY_CYCLE_RESTRICTIONS
sf7,1000b,180,26,22,85,4,15,2,8,1,4,1,4
sf7,2000b,289,46,43,93,3,7,2,4,0,0,1,2
sf7,4000b,543,94,85,90,9,10,2,2,4,4,3,3
sf7,5000b,657,115,106,92,9,8,2,2,6,5,1,1
sf7,6000b,769,136,126,93,10,7,2,1,6,4,2,1
sf7,7000b,880,157,147,94,10,6,2,1,7,4,1,1
sf8,2000b,533,47,43,91,4,9,2,4,1,2,1,2
sf8,3000b,769,71,64,90,7,10,2,3,3,4,2,3
sf8,4000b,972,92,85,92,7,8,2,2,4,4,1,1
sf8,5000b,1212,117,106,91,11,9,2,2,5,4,4,3
sf8,6000b,1452,142,126,89,16,11,2,1,9,6,5,4
sf8,7000b,1739,174,150,86,24,14,2,1,16,9,6,3
sf9,1000b,609,26,22,85,4,15,2,8,1,4,1,4
sf9,2000b,965,48,43,90,5,10,2,4,1,2,2,4
sf9,3000b,1365,71,63,89,8,11,2,3,1,1,5,7
sf9,4000b,1718,92,85,92,7,8,2,2,1,1,4,4
sf9,5000b,2153,118,106,90,12,10,2,2,5,4,5,4
sf9,6000b,2682,150,126,84,24,16,2,1,11,7,11,7
sf9,7000b,3030,170,146,86,24,14,2,1,10,6,12,7
sf10,2000b,3109,84,42,50,42,50,2,2,1,1,39,46
sf10,3000b,5312,150,63,42,87,58,2,1,5,3,80,53
sf10,4000b,7297,209,85,41,124,59,2,1,6,3,116,56
sf10,5000b,6223,178,106,60,72,40,2,1,1,1,69,39
sf10,6000b,11637,340,125,37,215,63,2,1,14,4,199,59
sf11,1000b,2422,26,22,85,4,15,2,8,1,4,1,4
sf11,2000b,3819,47,42,89,5,11,2,4,2,4,1,2
sf11,3000b,5217,68,64,94,4,6,2,3,0,0,2,3
sf11,4000b,6790,91,85,93,6,7,2,2,2,2,2,2
sf11,5000b,8632,118,106,90,12,10,2,2,6,5,4,3
sf11,6000b,10608,149,126,85,23,15,2,1,3,2,18,12
sf11,7000b,11660,165,147,89,18,11,2,1,6,4,10,6
sf12,1000b,4874,28,22,79,6,21,2,7,2,7,2,7
sf12,2000b,9876,66,43,65,23,35,2,3,5,8,16,24
sf12,3000b,12596,86,62,72,24,28,2,2,9,10,13,15
sf12,4000b,17506,123,85,69,38,31,2,2,11,9,25,20
sf12,5000b,19428,137,106,77,31,23,2,1,6,4,23,17
sf12,6000b,9154,151,125,83,26,17,2,1,8,5,16,11
sf12,7000b,25485,183,147,80,36,20,2,1,12,7,22,12

sf7,3000b,420,71,64,90,7,10,2,3,4,6,1,1
sf8,1000b,328,25,22,88,3,12,2,8,0,0,1,4
sf10,3000b,5092,143,64,45,79,55,2,1,3,2,74,52

sf10,1000b,2485,65,20,31,45,69,2,3,0,0,43,66

sf10,7000b,8629,250,147,59,103,41,2,1,11,4,90,36
